white;black;event;year;heatmap
Harikrishna,P;Vachier Lagrave,M;2021;0.32,0.05,0.06,0.69,0.39,0.11,1.0,0.15,0.16,0.04,0.18,-0.01,0.23,0.19,0.27,0.14,0.0,0.41,-0.05,0.08,0.16,0.46,0.06,0.08,0.11,-0.09,0.0,0.02,0.12,-0.02,0.07,0.01,-0.05,0.04,-0.19,0.29,-0.14,0.06,-0.04,0.0,-0.04,-0.37,-0.03,0.02,0.02,-0.29,0.06,-0.08,-0.14,-0.03,-0.5,-0.07,-0.39,-0.13,-0.18,-0.08,-0.27,-0.19,-0.09,-0.37,-0.33,-0.7,-0.93,-0.14
Fischer, Robert James;Beach, TJ.;1963;0.21,0.65,0.27,0.73,0.39,0.27,0.07,0.61,0.12,0.12,0.12,0.01,0.0,0.02,0.05,0.03,0.0,0.0,0.17,0.0,0.14,0.53,0.23,0.09,0.0,-0.04,0.03,0.06,0.18,0.06,0.04,0.0,-0.5,-0.01,0.0,-0.11,-0.03,0.01,0.0,0.0,0.0,0.0,-0.08,-0.07,-0.08,0.0,-0.12,0.03,-0.12,-0.08,-0.11,-0.2,-0.1,-0.09,-0.22,-0.12,-0.28,-0.42,-0.08,-0.55,-1.0,-0.11,-0.14,-0.61
Fischer, Robert James;Mott Smith, KO.;1964;0.47,0.15,0.26,0.3,0.23,0.21,0.33,0.82,0.16,0.11,0.2,0.09,0.08,0.22,0.18,0.15,0.01,0.16,0.08,0.08,-0.01,1.0,0.01,0.1,0.0,0.03,0.15,0.12,0.1,-0.17,0.0,-0.05,-0.06,0.0,0.02,-0.02,-0.18,-0.46,-0.21,-0.0,0.06,-0.06,-0.01,-0.15,-0.01,-0.14,-0.14,-0.2,-0.11,-0.12,-0.18,-0.01,-0.15,-0.08,-0.28,-0.41,-0.42,-0.13,-0.15,-0.62,-0.24,-0.46,-0.48,-0.18
Grandelius,N;Harikrishna,P;2021;0.46,0.35,0.24,0.66,0.31,0.17,1.0,0.17,0.12,0.12,0.08,0.06,0.76,0.17,0.46,0.06,-0.17,0.17,0.1,0.46,0.0,0.46,0.04,0.0,-0.01,-0.08,-0.16,0.16,0.01,0.11,0.0,0.01,-0.24,-0.1,-0.01,-0.17,0.16,0.0,0.0,0.1,0.0,-0.82,-0.24,0.0,-0.17,0.0,-0.04,-0.12,-0.35,-0.08,-0.21,-0.04,-0.22,-0.17,-0.17,-0.05,-0.29,-0.12,-0.29,-0.16,-0.82,-0.37,-0.89,-0.45
Dubov, Daniil;Praggnanandhaa, R;2022;0.56,0.33,0.33,1.0,1.0,0.33,0.33,0.56,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.56,-0.33,-0.33,-1.0,-1.0,-0.33,-0.33,-0.56
Fischer, Robert James;Platz, Joseph;1964;0.3,0.02,0.19,0.28,1.0,0.18,0.1,0.31,0.01,0.02,0.05,0.0,0.03,0.09,0.12,0.04,0.13,-0.03,-0.03,0.0,0.03,0.18,0.17,0.0,0.09,-0.07,0.0,0.01,0.01,0.0,0.09,0.27,-0.02,-0.0,-0.05,-0.12,0.11,-0.09,0.0,0.0,0.01,0.0,-0.19,0.04,-0.12,0.0,-0.08,0.08,-0.1,-0.07,-0.01,-0.32,-0.05,-0.03,-0.05,-0.12,-0.21,-0.16,-0.28,-0.55,-0.41,-0.41,-0.11,-0.45
Fischer, Robert James;Petrosian, Tigran V;1970;0.81,0.99,0.09,0.41,1.0,0.68,0.85,0.88,0.06,0.18,0.22,0.22,0.0,0.11,0.22,0.09,0.0,0.05,0.16,0.4,0.08,0.1,0.0,0.13,0.21,0.04,-0.02,0.11,0.01,0.15,-0.03,0.1,-0.08,0.0,-0.15,-0.17,0.38,0.19,0.0,-0.03,0.0,-0.45,-0.51,-0.1,-0.07,-0.46,0.12,-0.14,-0.22,-0.22,-0.69,-0.24,-0.15,-0.2,-0.22,-0.08,-0.3,0.01,-0.68,-0.94,-0.94,-0.92,-0.18,-0.86
Lehmann, Heinz Dr;Fischer, Robert James;1965;0.93,0.19,0.41,0.65,0.5,0.71,0.55,1.0,0.11,0.11,0.12,0.01,0.58,0.04,0.19,0.19,0.02,0.07,0.1,0.0,0.0,0.12,0.0,0.0,0.05,-0.21,0.01,0.12,0.09,0.02,-0.03,0.0,0.02,-0.19,-0.2,0.0,-0.09,0.0,0.01,0.0,0.03,-0.05,0.0,-0.05,-0.15,-0.14,0.0,-0.02,-0.03,-0.06,-0.06,-0.17,-0.28,-0.19,-0.19,-0.17,-0.61,-0.1,-0.27,-0.95,-0.99,-0.58,-0.75,-0.55
Agdamus, Jose Luis;Fischer, Robert James;1970;0.3,0.07,0.22,0.91,0.72,0.12,0.15,0.48,0.13,0.09,0.18,0.24,0.36,0.86,0.18,0.18,0.08,0.24,0.18,0.04,0.43,0.14,0.0,0.0,0.0,0.02,0.05,0.18,0.09,0.02,0.0,0.0,-0.12,-0.03,0.0,-0.05,-0.02,-0.06,0.0,0.0,-0.03,-0.14,-0.14,-0.23,-0.11,-0.06,-0.14,0.0,-0.18,-0.27,-0.18,-0.53,-0.05,-0.12,-0.29,-0.18,-0.39,-0.17,-1.0,-0.74,-0.7,-0.3,-0.02,-0.47
Matulovic, Milan;Fischer, Robert James;1970;0.27,0.04,0.05,0.22,0.48,0.25,1.0,0.19,-0.02,-0.03,0.09,0.42,0.05,0.04,0.14,0.13,-0.17,0.13,0.15,0.07,0.03,0.04,0.12,0.05,-0.09,-0.15,-0.06,0.05,0.08,0.04,0.0,0.0,-0.0,-0.04,-0.02,0.01,0.0,-0.02,0.04,0.0,-0.12,-0.03,-0.24,-0.05,-0.17,-0.1,0.0,0.01,-0.02,-0.1,-0.21,-0.01,-0.22,-0.15,-0.05,-0.15,-0.43,-0.11,-0.18,-0.15,-0.63,-0.18,-0.04,-0.43
